Age,ex,Sex,State
70,8.9,Male,WP Putrajaya
75,6.0,Male,WP Putrajaya
80,5.1,Male,WP Putrajaya
0,76.1,Female,WP Putrajaya
1,75.6,Female,WP Putrajaya
5,71.7,Female,WP Putrajaya
10,66.7,Female,WP Putrajaya
15,61.7,Female,WP Putrajaya
20,56.7,Female,WP Putrajaya
25,51.9,Female,WP Putrajaya
30,47.0,Female,WP Putrajaya
35,42.2,Female,WP Putrajaya
40,37.3,Female,WP Putrajaya
45,32.5,Female,WP Putrajaya
50,27.7,Female,WP Putrajaya
55,23.0,Female,WP Putrajaya
60,18.7,Female,WP Putrajaya
65,14.8,Female,WP Putrajaya
70,11.8,Female,WP Putrajaya
75,9.0,Female,WP Putrajaya
80,6.5,Female,WP Putrajaya
